# ----------------------------------------
# Visão geral da aquisição
# Conta: Innevo
# Propriedade: Indicadores Econômicos Hoje
# ----------------------------------------
#  
# Data de início: 20260101
# Data de término: 20260610
Nª semana,Usuários ativos
/inpc/,0
/ipca-e/index.html,8
/ipc-di/index.html,19
/comparar/inflacao-oficial/,0
/ipca-15/index.html,23
/incc-m/,0
/inflacao/,0
/construcao-civil/,0
/sobre/,0
/igp-di/,0
/juros/,0
/ipc-s/index.html,6
/comparar/,0
/comparar/indices-fgv/,0
/igp-m/grafico-variacao-rentabilidade-igpm-igp-m-2020-mes-a-mes-mensal-acumulado.png,1
/contato/,0
/comparar/construcao-civil/,0
/correcao-monetaria/,0
/igp-m/grafico-variacao-rentabilidade-igpm-igp-m-2021-mes-a-mes-mensal-acumulado.png,0
/incc-m/grafico-variacao-rentabilidade-inccm-incc-m-2021-mes-a-mes-mensal-acumulado.png,0
/inpc/grafico-variacao-rentabilidade-inpc-2021-mes-a-mes-mensal-acumulado.png,0
/ipca/variacao-2020-12-dezembro-ipca-2020-grafico-mensal-acumulado.png,0

#  
# Data de início: 20260101
# Data de término: 20260610
Consulta de Pesquisa orgânica do Google,Cliques orgânicos da Pesquisa Google
indicadores econômicos hoje,3
cdi abril 2026,1
cdi de maio 2026,1
incc x cdi gráfico,0
ipc fipe,0

# Data de início: 20250724
# Data de término: 20251231
Consulta de Pesquisa orgânica do Google,Cliques orgânicos da Pesquisa Google
indicadores econômicos hoje,1
cdi abril 2026,0
cdi de maio 2026,0
incc x cdi gráfico,1
ipc fipe,1

#  
# Data de início: 20260101
# Data de término: 20260610
Origem da campanha manual da sessão,Sessões
bing,216
google,44
br.search.yahoo.com,54
chatgpt.com,7
copilot.com,4
duckduckgo,2
blekko.com,1
facebook.com,1
yahoo,1
yometa.com,0
alhea.com,0
blinkx.com,1
colorof.com,1
datasetsearch.research.google.com,1
ecosia.org,1
egerin.com,0
fresheye.com,0
geona.com,1
heapr.com,1
home.mywebsearch.com,1
iconfinder.com,1
ierblog.xyz,1
ifacnet.com,0
inetmonster.com,0
jamasp.com,1
lexxe.com,0
metacrawler.com,0
multisearching.com,1
myallsearch.com,1
omnimedicalsearch.com,1
panjoy.com,1
pepesearch.com,1
redz.com,1
searchezee.com,0
searchgby.com,1
sify.com,0
simplyhired.com,1
